FeedbackID,GuestID,HotelID,ReviewComments,ReviewType,ReviewScore,RecommendationLikelihood,RoomComfortScore,ServiceQualityScore,CleanlinessScore
1,1961,1,"The service was impeccable, and the rooms were incredibly luxurious.",Positive,10,10,10,10,10
2,445,1,"The location is perfect, with stunning views and top-notch amenities.",Positive,10,10,10,10,10
3,2922,1,"Outstanding staff, the attention to detail was remarkable.",Positive,10,10,10,10,10
4,1532,1,"Beautiful hotel with world-class facilities, a truly memorable stay.",Positive,9,9,9,9,9
5,2036,1,"Spacious and comfortable rooms, with exceptional service from the staff.",Positive,9,9,9,9,9
6,3053,1,"The staff were incredibly professional, and the amenities were beyond expectations.",Positive,10,10,10,10,10
7,1109,1,"Luxurious rooms, extremely clean, and great attention to detail.",Positive,9,9,9,9,9
8,3548,1,"The hotel's central location made it easy to explore the city, and the views from the room were fantastic",Positive,10,10,10,10,10
9,2049,1,The staff were exceptionally friendly and went out of their way to make our stay comfortable,Positive,9,9,9,9,9
10,2590,1,"The room was spacious and well-equipped, providing everything we needed for a comfortable stay",Positive,9,9,9,9,9
11,957,1,"The location is convenient, but the noise from the street was noticeable at night",Positive,10,10,10,10,10
12,2851,1,"The room was clean, but the furniture felt a bit outdated",Positive,10,10,10,10,10
13,2569,1,"Breakfast was decent, though the options were somewhat limited",Neutral,7,6,7,7,8
14,195,1,"The wi-fi connection was stable, but the speed could have been better",Positive,10,10,10,10,10
15,17,1,"The bed was comfortable, but the pillows were a bit too firm for my taste",Positive,10,10,10,10,10
16,1054,1,The room had a musty smell that didnt go away during my stay,Positive,10,10,10,10,10
17,1084,1,"The walls were thin, and i could hear noise from the neighboring rooms, which affected my sleep",Positive,10,10,10,10,10
18,3648,1,"The room was smaller than expected, and the bathroom felt cramped",Positive,10,10,10,10,10
19,1673,5,"The cleanliness of the room was disappointing, with dust on the surfaces and a dirty carpet",Positive,10,10,10,10,10
20,807,5,The breakfast area was small and got crowded quickly in the morning,Positive,10,10,10,10,10
21,3264,5,"The room had an unpleasant odor that persisted during my stay, affecting my experience",Positive,10,10,10,10,10
22,2741,5,"Parking was a bit of a challenge, with limited spaces available",Positive,10,10,10,10,10
23,950,5,"The air conditioning worked well, but it was a bit noisy",Positive,10,10,10,10,10
24,220,5,"The check-in process was smooth, but i had to wait a bit for my room to be ready",Positive,10,10,10,10,10
25,1619,5,"The hotel was fine for a short stay, but i wouldnt recommend it for a longer visit",Positive,10,10,10,10,10
26,590,5,"The hotels central location made it easy to explore the city, and the views from the room were fantastic",Positive,10,10,10,10,10
27,2644,5,The staff were exceptionally friendly and went out of their way to make our stay comfortable,Positive,10,10,10,10,10
28,2223,5,"The room was spacious and well-equipped, providing everything we needed for a comfortable stay",Positive,10,10,10,10,10
29,2160,5,"The bed was incredibly comfortable, ensuring a great nights sleep",Positive,9,9,9,9,9
30,1276,5,"Breakfast was excellent, with a wide variety of options to suit all tastes",Positive,9,9,9,9,9
31,685,5,The hotels modern decor and ambiance added to the overall experience,Positive,10,10,10,10,10
32,3284,5,"The hotel was spotlessly clean, and the housekeeping staff did a great job each day",Positive,9,9,9,9,9
33,3697,5,"The rooftop terrace was a highlight, offering stunning views of the city",Positive,10,10,10,10,10
34,3499,5,"The service at the hotel was top-notch, with staff always ready to assist with a smile",Positive,9,9,9,9,9
35,699,5,"The location is convenient, but the surrounding area can be a bit noisy",Positive,9,9,9,9,9
36,181,5,"The room was comfortable enough, but the decor felt a bit dated",Neutral,7,6,7,7,8
37,1589,6,"The breakfast was adequate, but nothing particularly special",Neutral,7,6,7,7,8
38,2230,6,"The gym was small, but it had all the essential equipment",Positive,10,10,10,10,10
39,109,6,"The room was clean, but the furniture was outdated and could use some refurbishment",Positive,10,10,10,10,10
40,667,6,"The walls were thin, and i could hear noise from the neighboring rooms, which affected my sleep",Positive,10,10,10,10,10
41,348,6,"The room was smaller than expected, and the bathroom felt cramped",Positive,10,10,10,10,10
42,2401,6,"The cleanliness of the room was disappointing, with dust on the surfaces and a dirty carpet",Positive,10,10,10,10,10
43,2553,6,The breakfast area was small and got crowded quickly in the morning,Positive,10,10,10,10,10
44,3567,6,"Parking was a bit of a challenge, with limited spaces available",Positive,10,10,10,10,10
45,912,6,"The room had an unpleasant odor that persisted during my stay, affecting my experience",Positive,10,10,10,10,10
46,2721,6,"The air conditioning worked well, but it was a bit noisy",Positive,10,10,10,10,10
47,1934,6,"The check-in process was smooth, but i had to wait a bit for my room to be ready",Positive,10,10,10,10,10
48,2161,6,"The hotels central location made it easy to explore the city, and the views from the room were fantastic",Positive,10,10,10,10,10
49,2221,6,The staff were exceptionally friendly and went out of their way to make our stay comfortable,Positive,10,10,10,10,10
50,2196,6,"The room was spacious and well-equipped, providing everything we needed for a comfortable stay",Positive,10,10,10,10,10
51,3618,6,"The bed was incredibly comfortable, ensuring a great nights sleep",Positive,10,10,10,10,10
52,1950,6,"Breakfast was excellent, with a wide variety of options to suit all tastes",Positive,10,10,10,10,10
53,1045,6,The hotels modern decor and ambiance added to the overall experience,Positive,10,10,10,10,10
54,3229,6,"The hotel was spotlessly clean, and the housekeeping staff did a great job each day",Positive,9,9,9,9,9
55,3688,8,"The rooftop terrace was a highlight, offering stunning views of the city",Positive,9,9,9,9,9
56,3417,8,"The service at the hotel was top-notch, with staff always ready to assist with a smile",Positive,10,10,10,10,10
57,1644,8,"The location is convenient, but the noise from the street was noticeable at night",Positive,9,9,9,9,9
58,3414,8,"The room was clean, but the furniture felt a bit outdated",Positive,10,10,10,10,10
59,2835,8,"Breakfast was decent, though the options were somewhat limited",Positive,9,9,9,9,9
60,3529,8,"The wi-fi connection was stable, but the speed could have been better",Positive,9,9,9,9,9
61,1230,8,"The bed was comfortable, but the pillows were a bit too firm for my taste",Neutral,7,6,7,7,8
62,380,8,"The hotel's central location made it easy to explore the city, and the views from the room were fantastic",Neutral,7,6,7,7,8
63,198,8,The staff were exceptionally friendly and went out of their way to make our stay comfortable,Neutral,7,6,7,7,8
64,825,8,"The room was spacious and well-equipped, providing everything we needed for a comfortable stay",Neutral,6,6,7,7,8
65,3320,8,"The bed was incredibly comfortable, ensuring a great nights sleep",Neutral,6,5,6,7,7
66,1153,8,"Breakfast was excellent, with a wide variety of options to suit all tastes",Positive,9,9,9,9,9
67,2328,8,The hotels modern decor and ambiance added to the overall experience,Positive,10,10,10,10,10
68,3628,8,"The hotel was spotlessly clean, and the housekeeping staff did a great job each day",Positive,9,9,9,9,9
69,1712,8,"The rooftop terrace was a highlight, offering stunning views of the city",Positive,9,9,9,9,9
70,1593,8,"The service at the hotel was top-notch, with staff always ready to assist with a smile",Positive,9,9,9,9,9
71,788,8,The room had a musty smell that didnt go away during my stay,Negative,4,3,4,4,5
72,1894,8,"The walls were thin, and i could hear noise from the neighboring rooms, which affected my sleep",Negative,4,3,4,4,4
73,2165,10,"The room was smaller than expected, and the bathroom felt cramped",Positive,9,9,9,9,9
74,2839,10,"The cleanliness of the room was disappointing, with dust on the surfaces and a dirty carpet",Positive,9,9,9,9,9
75,3701,10,"Parking was a bit of a challenge, with limited spaces available",Positive,9,9,9,9,9
76,2529,10,"The air conditioning worked well, but it was a bit noisy",Positive,9,9,9,9,9
77,1105,10,"The check-in process was smooth, but i had to wait a bit for my room to be ready",Positive,9,9,9,9,9
78,2492,10,"The room was fine, but the view wasnt as good as i expected",Positive,10,10,9,10,9
79,1931,10,The breakfast area was small and got crowded quickly in the morning,Positive,9,9,9,9,9
80,2601,10,"The hotels central location made it easy to explore the city, and the views from the room were fantastic",Positive,9,9,9,9,9
81,2400,10,The staff were exceptionally friendly and went out of their way to make our stay comfortable,Positive,10,10,9,10,9
82,2462,10,"The room was spacious and well-equipped, providing everything we needed for a comfortable stay",Positive,9,9,9,9,9
83,2112,10,"The bed was incredibly comfortable, ensuring a great nights sleep",Positive,9,9,9,9,9
84,3520,10,"Breakfast was excellent, with a wide variety of options to suit all tastes",Positive,8,8,8,8,9
85,2123,10,The hotels modern decor and ambiance added to the overall experience,Neutral,7,6,7,7,7
86,85,10,"The hotel was spotlessly clean, and the housekeeping staff did a great job each day",Neutral,7,7,7,7,7
87,1378,10,"The rooftop terrace was a highlight, offering stunning views of the city",Positive,9,9,9,9,9
88,626,10,"The service at the hotel was top-notch, with staff always ready to assist with a smile",Positive,9,9,9,9,9
89,1250,10,"The location is convenient, but the noise from the street was noticeable at night",Positive,9,9,9,9,9
90,1059,10,"The room was clean, but the furniture felt a bit outdated",Positive,9,9,9,9,9
91,955,13,"Breakfast was decent, though the options were somewhat limited",Positive,9,9,9,9,9
92,2847,13,"The wi-fi connection was stable, but the speed could have been better",Positive,9,9,9,9,9
93,613,13,"The bed was comfortable, but the pillows were a bit too firm for my taste",Positive,9,9,9,9,9
94,168,13,"The hotels central location made it easy to explore the city, and the views from the room were fantastic",Positive,9,9,9,9,9
95,2100,13,The staff were exceptionally friendly and went out of their way to make our stay comfortable,Positive,10,10,9,10,9
96,3612,13,"The room was spacious and well-equipped, providing everything we needed for a comfortable stay",Positive,9,9,9,9,9
97,896,13,"The bed was incredibly comfortable, ensuring a great nights sleep",Positive,9,9,9,9,9
98,1645,13,"Breakfast was excellent, with a wide variety of options to suit all tastes",Positive,9,9,9,9,9
99,3481,13,The hotels modern decor and ambiance added to the overall experience,Positive,9,9,9,9,9
100,1943,13,"The hotel was spotlessly clean, and the housekeeping staff did a great job each day",Positive,9,9,9,9,9
101,2807,13,"The rooftop terrace was a highlight, offering stunning views of the city",Positive,9,9,9,9,9
102,2799,13,"The service at the hotel was top-notch, with staff always ready to assist with a smile",Positive,9,9,9,9,9
103,1035,13,"The location is convenient, but the noise from the street was noticeable at night",Positive,10,10,9,10,9
104,1494,13,"The room was clean, but the furniture felt a bit outdated",Positive,9,9,9,9,9
105,1971,13,"Breakfast was decent, though the options were somewhat limited",Positive,9,9,9,9,9
106,3291,13,"The wi-fi connection was stable, but the speed could have been better",Positive,10,10,9,10,9
107,1870,13,"The bed was comfortable, but the pillows were a bit too firm for my taste",Positive,9,9,9,9,9
108,682,13,The room had a musty smell that didnt go away during my stay,Positive,9,9,9,9,9
109,2464,14,"The walls were thin, and i could hear noise from the neighboring rooms, which affected my sleep",Positive,8,8,8,8,9
110,2747,14,"The room was smaller than expected, and the bathroom felt cramped",Neutral,7,6,7,7,7
111,836,14,"The cleanliness of the room was disappointing, with dust on the surfaces and a dirty carpet",Neutral,7,7,7,7,7
112,248,14,"Parking was a bit of a challenge, with limited spaces available",Positive,9,9,9,9,9
113,3617,14,"The hotels central location made it easy to explore the city, and the views from the room were fantastic",Neutral,7,7,7,7,7
114,533,14,The staff were exceptionally friendly and went out of their way to make our stay comfortable,Positive,9,9,9,9,9
115,53,14,"The room was spacious and well-equipped, providing everything we needed for a comfortable stay",Positive,9,9,9,9,9
116,1342,14,"The bed was incredibly comfortable, ensuring a great nights sleep",Positive,9,9,9,9,9
117,2055,14,"Breakfast was excellent, with a wide variety of options to suit all tastes",Positive,9,9,9,9,9
118,2850,14,The hotels modern decor and ambiance added to the overall experience,Positive,10,10,9,10,9
119,3473,14,"The hotel was spotlessly clean, and the housekeeping staff did a great job each day",Positive,9,9,9,9,9
120,1929,14,"The rooftop terrace was a highlight, offering stunning views of the city",Positive,9,9,9,9,9
121,1467,14,"The service at the hotel was top-notch, with staff always ready to assist with a smile",Positive,8,8,8,8,9
122,442,14,"The location is convenient, but the noise from the street was noticeable at night",Positive,7,6,7,7,7
123,2378,14,"The room was clean, but the furniture felt a bit outdated",Positive,9,9,9,9,9
124,988,14,"Breakfast was decent, though the options were somewhat limited",Positive,9,9,9,9,9
125,637,14,"The wi-fi connection was stable, but the speed could have been better",Negative,3,2,3,3,4
126,2166,14,"The bed was comfortable, but the pillows were a bit too firm for my taste",Positive,10,10,10,10,10
127,826,15,"The hotels central location made it easy to explore the city, and the views from the room were fantastic",Positive,10,10,10,10,10
128,3608,15,The staff were exceptionally friendly and went out of their way to make our stay comfortable,Positive,10,10,10,10,10
129,2192,15,"The room was spacious and well-equipped, providing everything we needed for a comfortable stay",Positive,9,9,9,9,9
130,1232,15,"The bed was incredibly comfortable, ensuring a great nights sleep",Positive,9,9,9,9,9
131,3258,15,"Breakfast was excellent, with a wide variety of options to suit all tastes",Positive,10,10,10,10,10
132,1025,15,The hotels modern decor and ambiance added to the overall experience,Positive,9,9,9,9,9
133,1816,15,"The hotel was spotlessly clean, and the housekeeping staff did a great job each day",Positive,10,10,10,10,10
134,485,15,"The rooftop terrace was a highlight, offering stunning views of the city",Positive,9,9,9,9,9
135,1086,15,"The service at the hotel was top-notch, with staff always ready to assist with a smile",Positive,9,9,9,9,9
136,2983,15,"The room was fine, but the view wasnt as good as i expected",Neutral,7,6,7,7,8
137,1585,15,"The breakfast was adequate, but nothing particularly special",Neutral,7,6,7,7,8
138,3554,15,"The location is convenient, but the surrounding area can be a bit noisy",Neutral,6,6,7,7,8
139,486,15,"The gym was small, but it had all the essential equipment",Neutral,6,6,7,7,8
140,2476,15,The hotels historic charm added to the overall experience,Neutral,6,5,6,7,7
141,2110,15,"The check-in process was smooth, but i had to wait a bit for my room to be ready",Negative,4,3,4,4,5
142,1922,15,"The walls were thin, and i could hear noise from the neighboring rooms, which affected my sleep",Negative,4,3,4,4,5
143,1221,15,"The room was smaller than expected, and the bathroom felt cramped",Negative,4,3,4,4,5
144,2295,15,"The cleanliness of the room was disappointing, with dust on the surfaces and a dirty carpet",Negative,4,3,4,4,5
145,1262,16,"Parking was a bit of a challenge, with limited spaces available",Positive,9,9,9,9,9
146,2575,16,"The hotels central location made it easy to explore the city, and the views from the room were fantastic",Positive,9,9,9,9,9
147,627,16,The staff were exceptionally friendly and went out of their way to make our stay comfortable,Positive,9,9,9,9,9
148,1163,16,"The room was spacious and well-equipped, providing everything we needed for a comfortable stay",Positive,9,9,9,9,9
149,1375,16,"The bed was incredibly comfortable, ensuring a great nights sleep",Positive,9,9,9,9,9
150,3610,16,"Breakfast was excellent, with a wide variety of options to suit all tastes",Negative,4,3,4,4,5
151,1777,16,The hotels modern decor and ambiance added to the overall experience,Positive,9,9,9,9,9
152,2900,16,"The hotel was spotlessly clean, and the housekeeping staff did a great job each day",Positive,9,9,9,9,9
153,2550,16,"The rooftop terrace was a highlight, offering stunning views of the city",Positive,10,10,9,10,9
154,3693,16,"The service at the hotel was top-notch, with staff always ready to assist with a smile",Positive,9,9,9,9,9
155,3042,16,"The location is convenient, but the noise from the street was noticeable at night",Positive,9,9,9,9,9
156,2314,16,"The room was clean, but the furniture felt a bit outdated",Positive,10,10,9,10,9
157,3589,16,"Breakfast was decent, though the options were somewhat limited",Positive,9,9,9,9,9
158,3560,16,"The wi-fi connection was stable, but the speed could have been better",Positive,9,9,9,9,9
159,1611,16,"The bed was comfortable, but the pillows were a bit too firm for my taste",Positive,8,8,8,8,9
160,2131,16,The room had a musty smell that didnt go away during my stay,Neutral,7,6,7,7,7
161,1877,16,"The walls were thin, and i could hear noise from the neighboring rooms, which affected my sleep",Neutral,7,7,7,7,7
162,1177,16,"The room was smaller than expected, and the bathroom felt cramped",Neutral,6,6,7,7,8
163,283,17,"The cleanliness of the room was disappointing, with dust on the surfaces and a dirty carpet",Neutral,7,7,7,7,7
164,872,17,"Parking was a bit of a challenge, with limited spaces available",Positive,9,9,9,9,9
165,2715,17,"The hotels central location made it easy to explore the city, and the views from the room were fantastic",Positive,9,9,9,9,9
166,1555,17,The staff were exceptionally friendly and went out of their way to make our stay comfortable,Positive,9,9,9,9,9
167,3643,17,"The room was spacious and well-equipped, providing everything we needed for a comfortable stay",Positive,9,9,9,9,9
168,3286,17,"The bed was incredibly comfortable, ensuring a great nights sleep",Positive,9,9,9,9,9
169,417,17,"Breakfast was excellent, with a wide variety of options to suit all tastes",Positive,9,9,9,9,9
170,421,17,The hotels modern decor and ambiance added to the overall experience,Positive,9,9,9,9,9
171,2985,17,"The hotel was spotlessly clean, and the housekeeping staff did a great job each day",Positive,9,9,9,9,9
172,3407,17,"The rooftop terrace was a highlight, offering stunning views of the city",Positive,9,9,9,9,9
173,2838,17,"The service at the hotel was top-notch, with staff always ready to assist with a smile",Positive,9,9,9,9,9
174,2882,17,"The location is convenient, but the noise from the street was noticeable at night",Positive,9,9,9,9,9
175,2170,17,"The room was clean, but the furniture felt a bit outdated",Negative,3,2,3,3,4
176,143,17,"Excellent location, very friendly staff, made my stay enjoyable.",Positive,9,9,9,9,9
177,108,17,"Spacious and comfortable rooms, ideal for a city break.",Positive,9,9,9,9,9
178,914,17,"Outstanding service, the staff were very accommodating and helpful.",Positive,10,10,9,10,9
179,764,17,"Beautiful hotel with great amenities, thoroughly enjoyed my stay.",Positive,9,9,9,9,9
180,561,17,"The room was very clean, and the service was excellent.",Positive,8,8,8,9,9
181,1417,19,"Great hotel with fantastic views, would definitely recommend.",Positive,9,9,9,9,9
182,683,19,"Spacious rooms and good amenities, excellent value for money.",Positive,8,8,8,8,9
183,3386,19,The staff were very friendly and the location is perfect for exploring the city.,Positive,9,9,9,9,9
184,2117,19,"Wonderful experience, great for both business and leisure.",Positive,9,9,9,9,9
185,1606,19,"Great facilities, but the wi-fi was a bit slow.",Neutral,7,6,7,7,7
186,3061,19,"The location is convenient, but the breakfast could have more variety.",Neutral,7,7,7,7,7
187,1566,19,"Room decor is a bit outdated, but the service was very good.",Neutral,6,6,7,7,8
188,3309,19,"Breakfast was average, but the staff were friendly.",Neutral,7,7,7,7,7
189,1880,19,"A bit noisy at night, but the room was clean and comfortable.",Neutral,6,6,7,7,7
190,169,19,"The hotel is in a good location, but the rooms could use some updating.",Neutral,6,5,6,6,7
191,738,19,"Great hotel overall, but the wi-fi could be improved.",Neutral,6,6,7,6,7
192,3047,19,"The staff were helpful, but the breakfast was disappointing.",Neutral,7,6,7,7,7
193,2717,19,"The room was smaller than expected, and the bed was uncomfortable.",Positive,9,9,9,9,9
194,3212,19,"The wi-fi was unreliable, and the room decor was outdated.",Positive,9,9,9,9,9
195,3317,19,"The staff were unresponsive, and the breakfast was disappointing.",Positive,10,10,9,10,9
196,2390,19,"Noisy air conditioning and outdated room decor, not up to standard.",Positive,9,9,9,9,9
197,3502,19,"The location is not convenient, and the service was lacking.",Positive,9,9,9,9,9
198,408,19,"The hotel looks good from the outside, but the rooms need renovation.",Negative,4,3,4,4,5
