HotelID,HotelName,HotelStarRating,HotelAddress,HotelPhone,HotelEmail,HotelWebsite,Reviews_count,NumberOfRooms,AverageRoomRateUSD,LastRenovationDate,DistanceToAirport,RatingAverage,BookingURL,distance_to_center,breakfast,cancellation_policy,prepayment_policy,Free Wi-Fi,Spa,Fitness Center,Restaurant,Bar,Conference Facilities,Non-Smoking Rooms,Sauna,Business Center,Outdoor Pool,Gym,Indoor swimming pool
1,Four Seasons Hotel ,5,"1 Neftchilar Avenue, Baku, Azerbaijan",+994 12 404 2424,reservations.baku@fourseasons.com,www.fourseasons.com/baku,511,171,500,2012,25,9.3,https://www.booking.com/hotel/az/four-seasons-baku,0.9,Not included,Free cancellation,No prepayment needed,1,1,0,0,0,0,0,0,0,0,1,1
2,JW Marriott Absheron ,5,"674 Azadliq Square, Baku, Azerbaijan",+994 12 499 8888,jwmarriott.baku@marriott.com,www.marriott.com/baku,935,243,320,2011,24,9.4,https://www.booking.com/hotel/az/jw-marriott-absheron-baku,1.7,Not included,No free cancellation,Prepayment needed,1,1,0,0,0,0,0,0,1,0,1,1
3,"Fairmont Baku , Flame Towers",5,"1A Mehdi Huseyn Street, Baku, Azerbaijan",+994 12 565 4848,baku.reservations@fairmont.com,www.fairmont.com/baku,1505,318,280,2013,27,9.2,https://www.booking.com/hotel/az/fairmont-baku,1.5,Not included,No free cancellation,Prepayment needed,1,1,0,0,0,0,0,0,0,0,0,0
4,Hilton Baku,5,"1B Azadlig Avenue, Baku, Azerbaijan",+994 12 464 5000,hilton.baku@hilton.com,www.hilton.com/baku,1211,309,300,2010,23,9.1,https://www.booking.com/hotel/az/hilton-baku,1.1,Not included,No free cancellation,Prepayment needed,0,0,1,0,0,0,0,0,0,0,0,0
5,Hyatt Regency ,5,"1033 Izmir Street, Baku, Azerbaijan",+994 12 490 1234,baku.regency@hyatt.com,www.hyatt.com/baku,712,159,270,2009,26,9.0,https://www.booking.com/hotel/az/hyatt-regency-baku,2.1,Not included,No free cancellation,Prepayment needed,0,1,1,0,0,0,0,0,0,1,0,0
6,The Ritz-Carlton,5,"1 Heydar Aliyev Avenue, Baku, Azerbaijan",+994 12 499 8800,ritzcarlton.baku@ritzcarlton.com,www.ritzcarlton.com/baku,237,202,380,2020,22,9.6,https://www.booking.com/hotel/az/ritz-carlton-baku,3.1,Not included,No free cancellation,Prepayment needed,0,1,0,0,0,0,0,0,0,0,0,0
7,Radisson Hotel ,5,"8 Nizami Street, Baku, Azerbaijan",+994 12 491 3000,radisson.baku@radisson.com,www.radissonhotels.com/baku,3772,248,260,2014,28,8.9,https://www.booking.com/hotel/az/radisson-baku,0.5,Included,Free cancellation,No prepayment needed,1,0,1,1,0,0,0,0,0,0,0,0
8,Sapphire City Hotel ,4,"20 Nigar Rafibeyli Street, Baku, Azerbaijan",+994 12 444 4949,info@sapphirecitybaku.com,www.sapphirecityhotel.com,656,42,180,2017,30,8.7,https://www.booking.com/hotel/az/sapphirecitybaku,0.2,Not included,No free cancellation,Prepayment needed,1,0,0,0,1,1,0,0,0,0,0,0
9,InterContinental Baku,5,"31 Bulbul Avenue, Baku, Azerbaijan",+994 12 555 1234,intercontinental.baku@ihg.com,www.ihg.com/intercontinental/baku,1560,150,340,2021,21,9.4,https://www.booking.com/hotel/az/intercontinental-baku,0.7,Not included,No free cancellation,Prepayment needed,0,1,0,0,1,0,0,0,0,0,0,0
10,Excelsior Hotel & Spa ,5,"2 Heydar Aliyev Avenue, Baku, Azerbaijan",+994 12 496 8000,info@excelsior.az,www.excelsior.az/en/pages/14/about-us,504,61,230,2005,25,4.5,https://www.booking.com/hotel/az/excelsior-baku,3.0,Not included,Free cancellation,No prepayment needed,1,1,1,0,0,1,0,0,0,0,0,0
11,Boulevard Hotel  Autograph Collection,5,"4C Khagani Rustamov Street, Baku White City, Baku, Azerbaijan",+994 12 310 00 10,info@boulevardhotel.com,www.boulevardhotelbaku.com,1200,818,195,2015,20,8.1,https://www.booking.com/hotel/az/boulevard-hotel,4.0,Included,Free cancellation,No prepayment needed,1,1,1,1,1,1,0,1,0,0,0,0
12,Sheraton  Intourist Hotel,5,"51 Mikail Useynov Avenue, Baku, Azerbaijan",+994 12 437 9090,info@intouristhotel.az,www.intouristhotelbaku.com,1921,150,200,2015,25,8.7,https://www.booking.com/hotel/az/intourist-hotel,1.9,Not included,No free cancellation,Prepayment needed,1,1,1,1,1,0,0,1,0,0,0,0
13,Pullman Baku,5,"1C M. Mushfig Street, Baku, Azerbaijan",+994 12 490 7000,info@pullman-baku.com,www.pullmanbaku.com,418,280,180,2011,31,8.4,https://www.booking.com/hotel/az/pullman-baku,4.2,Included,Free cancellation,No prepayment needed,1,1,1,1,1,1,0,0,0,1,0,0
14,Kempinski Hotel Badamdar ,5,"1C Mikayil Mushfiq Street, Baku, Azerbaijan",+994 12 538 9090,info@kempinski-badamdar.com,www.kempinskihotelbadamdar.com,245,280,250,2011,31,8.0,https://www.booking.com/hotel/az/kempinski,4.5,Not included,No free cancellation,Prepayment needed,1,1,1,1,1,1,0,1,0,0,0,0
15,Royal Garden Hotel,4,"1 Bakikhanov Street, Yasamal District, Baku, Azerbaijan",+994 12 123 4567,info@royalgarden.az,www.royalgarden.az,189,183,150,2021,28,8.3,https://www.planetofhotels.com/en/azerbaijan/baku/royal-garden-hotel,2.0,Included,Free cancellation,Prepayment needed,1,1,1,1,0,0,0,0,0,1,0,0
16,Grand Hotel Europe ,5,"22 Tbilisi Avenue, Baku, Azerbaijan",+994 12 490 70 90,sales@grand-europe.az,www.grandhoteleuropebaku.com,144,75,225,2022,28,8.0,https://www.booking.com/hotel/az/grand-hotel-europe,1.5,Included,Free cancellation,No prepayment needed,1,1,0,1,1,1,0,0,0,0,0,0
17,Golden Coast Hotel ,5,"14 Mikail Useynov Street, Baku, Azerbaijan","+994 12 491 5200, +994 51 291 6931",info@goldencoast.az,www.goldencoasthotelbaku.com,276,125,200,2018,30,8.2,https://www.booking.com/hotel/az/golden-coast,1.7,Included,Free cancellation,Prepayment needed,1,1,1,1,1,1,0,1,0,0,0,0
18,Winter Park Hotel ,4,"210 M. Aliyev Street, Nasimi District, AZ1015, Baku, Azerbaijan",+994 12 599 9199,reservation@winterparkhotel.net,www.winterparkhotelbaku.com,3143,170,145,2017,25,9.1,https://www.booking.com/hotel/az/winter-park,1.3,Included,Free cancellation,No prepayment needed,1,1,1,1,0,0,1,0,0,0,0,0
19,Park Inn by Radisson ,4,"1 Azadlig Avenue, Baku, Azerbaijan",+994 12 490 6000,info@parkinn-baku.com,www.parkinnbaku.com,672,255,155,2018,24,8.4,https://www.booking.com/hotel/az/park-inn-radisson-baku,0.9,Included,Free cancellation,No prepayment needed,1,0,1,1,1,1,0,0,1,0,0,0
20,Ramada by Wyndham ,5,"Salyan Highway, Shikhov Beach 1023, Baku, Azerbaijan",+994 12 491 7303,"sales@ramadabaku.com, info@ramadabaku.com",www.ramadabaku.com,1505,79,140,2024,35,7.2,https://www.booking.com/hotel/az/ramada-wyndham-baku,7.8,Not included,No free cancellation,Prepayment needed,1,1,1,1,1,1,0,0,1,1,0,0
21,Molokan Inn Hotel ,4,"8 Gogol Street, Sabail, Baku, Azerbaijan",+994 12 494 45 45,info@molokaninnbaku.com,www.molokaninn.az,384,21,75,2021,25,8.5,https://www.booking.com/molokaninnbaku,0.5,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,0,0,0,0,0,0
22,Promenade Hotel ,5,"38 Sabir Street, Baku, Azerbaijan",+994 12 505 12 12,info@promenadebaku.com,www.promenadebaku.com,458,50,85,2020,22,8.7,https://www.booking.com/promenadehotelbaku,0.7,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
23,Theatrum Hotel ,5,"16 Samad Vurgun Street, Baku, Azerbaijan",+994 12 565 56 56,info@theatrumhotelbaku.com,www.theatrumhotelbaku.com,1500,60,120,2021,19,9.0,https://www.booking.com/theatrumhotelbaku,1.2,Included,Free cancellation,No prepayment needed,1,1,0,1,0,1,1,0,0,0,0,0
24,Miraj Hotel ,4,"18 Ahmad Rajabli Street, Baku, Azerbaijan",+994 12 433 45 45,info@mirajhotelbaku.com,www.mirajhotelbaku.com,168,40,80,2019,18,8.3,https://www.booking.com/mirajhotelbaku,2.3,Included,Free cancellation,No prepayment needed,1,0,1,1,0,0,1,0,0,0,0,0
25,Centric  Boutique Hotel,4,"15 Nizami Street, Baku, Azerbaijan",+994 12 450 45 45,info@centricbaku.com,www.centricbaku.com,194,30,95,2020,21,8.6,https://www.booking.com/centricbaku,0.5,Not included,Free cancellation,No prepayment needed,1,0,0,0,0,0,1,0,0,0,0,0
26,Sapphire Bayil ,4,"3 Neftchilar Avenue, Baku, Azerbaijan",+994 12 495 55 55,info@sapphirebayilbaku.com,www.sapphirebayilbaku.com,342,45,100,2020,20,8.4,https://www.booking.com/sapphirebayilbaku,3.1,Not included,No free cancellation,Prepayment needed,1,0,0,1,1,0,1,0,0,0,0,0
27,Nobel Hotel ,4,"50 Nobel Avenue, Baku, Azerbaijan",+994 12 567 67 67,info@nobelhotelbaku.com,www.nobelhotelbaku.com,286,55,85,2019,19,8.2,https://www.booking.com/nobelhotelbaku,1.5,Included,Free cancellation,No prepayment needed,1,0,1,1,0,0,1,0,0,0,0,0
28,Seven Rooms Boutique Hotel,4,"7 Bulbul Avenue, Baku, Azerbaijan",+994 12 477 77 77,info@sevenroomsbaku.com,www.sevenroomsbaku.com,132,20,90,2020,18,8.8,https://www.booking.com/sevenroomsbaku,0.2,Included,Free cancellation,No prepayment needed,1,0,0,0,0,0,1,0,0,0,0,0
29,Passage Boutique Hotel,4,"19 Nigar Rafibeyli Street, Baku, Azerbaijan",+994 12 497 19 19,info@passagehotelbaku.com,www.passagehotelbaku.com,287,28,65,2021,20,8.4,https://www.booking.com/passagehotelbaku,1.7,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
30,West Shine Hotel ,4,"4 Tabriz Khalilbeyli Street, Baku, Azerbaijan",+994 12 493 66 66,info@westshinehotelbaku.com,www.westshinehotelbaku.com,197,30,75,2019,22,8.1,https://www.booking.com/westshinehotelbaku,2.0,Not included,No free cancellation,Prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
31,Amber Hotel ,4,"29 Jafar Jabbarli Street, Baku, Azerbaijan",+994 12 594 01 49,sales@amberhotel.az,www.amberhotel.az,138,22,75,2021,28,8.2,https://www.booking.com/amberhotelbaku,1.9,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
32,Teatro Boutique Hotel,4,"16A Narimanov Avenue, Baku, Azerbaijan",+994 12 480 37 00,info@teatroboutiquehotel.com,www.teatroboutiquehotel.com,236,40,70,2019,23,8.6,https://www.booking.com/teatroboutiquehotel,2.2,Included,Free cancellation,No prepayment needed,1,1,1,1,0,0,1,0,0,0,0,0
33,Modern Hotel Baku ,4,"188 Mirali Gashgai Street, Baku, Azerbaijan",+994 12 449 47 47,info@modernhotelbaku.com,www.modernhotelbaku.com,2281,67,65,2020,25,8.4,https://www.booking.com/modernhotelbaku,2.5,Not included,No free cancellation,Prepayment needed,1,0,1,1,0,0,1,0,0,0,0,0
34,New  Baku Hotel,4,"58 Nizami Street, Baku, Azerbaijan",+994 12 495 60 00,info@newbakuhotel.com,www.newbakuhotel.com,158,45,85,2018,19,8.5,https://www.booking.com/newbakuhotel,1.8,Included,Free cancellation,No prepayment needed,1,1,0,1,0,1,1,0,0,0,0,0
35,Opera Hotel ,4,"20 Samed Vurgun Street, Baku, Azerbaijan",+994 12 493 20 20,info@operahotelbaku.com,www.operahotelbaku.com,119,70,110,2017,18,8.8,https://www.booking.com/operahotelbaku,2.0,Included,Free cancellation,No prepayment needed,1,1,1,0,0,1,1,0,0,0,0,0
36,Ariva Hotel ,4,"22 Ziya Bunyadov Street, Baku, Azerbaijan",+994 12 566 50 01,info@arivahotelbaku.com,www.arivahotelbaku.com,94,47,55,2019,20,7.9,https://www.booking.com/arivahotelbaku,1.9,Included,No free cancellation,Prepayment needed,1,1,1,1,0,0,1,0,0,0,0,0
37,Caspi Hotel ,3,"1-ci Yashil Ada Ev 7, Baku, Azerbaijan",+994 50 123 45 67,info@caspi-baku.com,www.caspibakuhotel.com,112,18,40,2017,18,8.0,https://www.booking.com/caspibaku,1.6,Not included,Free cancellation,No prepayment needed,1,0,0,0,0,0,1,0,0,0,0,0
38,Austin Boutique Hotel,4,"27B Afiyeddin Jalilov Street, Baku, Azerbaijan",+994 12 497 57 07,info@austinbaku.com,www.austinboutiquehotel.com,76,31,65,2018,24,8.2,https://www.booking.com/austinboutiquehotel,1.4,Included,Free cancellation,No prepayment needed,1,0,0,1,1,0,1,0,0,0,0,0
39,Rigs Hotel ,3,"76 Boyuk Gala Street, Baku, Azerbaijan",+994 12 496 72 11,info@rigshotel.com,www.rigshotel.com,154,32,50,2016,26,7.8,https://www.booking.com/rigshotel,1.3,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
40,Kichik Gala Boutique Hotel ,4,"64 Khojali Avenue, Baku, Azerbaijan",+994 12 497 20 45,info@galaboutiquehotel.com,www.galaboutiquehotel.com,87,21,70,2020,19,8.5,https://www.booking.com/galaboutiquehotel,0.9,Included,Free cancellation,No prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
41,Ibis  City Hotel,3,"9 M. Narimanov Street, Baku, Azerbaijan",+994 12 488 89 00,h9622@accor.com,www.ibis.com/baku-city,1825,202,50,2024,17,8.8,https://www.booking.com/ibis-baku-city,4.0,Included,Free cancellation,No prepayment needed,1,0,1,1,1,0,1,0,0,0,0,0
42,Sunday Hotel ,4,"11A M. R. Rasulzada Street, Baku, Azerbaijan",+994 12 493 30 40,info@sundayhotelbaku.com,www.sundayhotelbaku.com,204,20,45,2018,18,8.0,https://www.booking.com/sundayhotelbaku,2.1,Not included,Free cancellation,Prepayment needed,1,0,0,1,0,0,1,0,0,0,0,0
43,Cafe Terras Hostel,2,"14A Mirza Mansur Street, Baku, Azerbaijan",+994 55 268 02 02,info@cafeterashostel.com,www.cafeterashostel.com,65,10,25,2019,19,7.5,https://www.booking.com/cafeterashostel,0.3,Included,No free cancellation,Prepayment needed,1,0,0,0,0,0,1,0,0,0,0,0
